,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,ARMY NAVY FRIES 2KG,  40 ,KG,,,,
2,BACON 1KG,  200 ,G,,,,
3,BEEF BRISKET,  7.5 ,KG,,,,
4,CHICKEN BREAST FILLET,  2 ,KG,,,,
5,CHICKEN LIVER,  1 ,KG,,,,
6,GROUND BEEF,  5 ,KG,,,,
7,GROUND PORK FAT,  1.4 ,KG,,,,
8,HUNGARIAN SAUSAGE 250G,,G,,,,
9,MASCARA,  7.8 ,KG,,,,
10,METROPOLIS PEPPERONI SLICED 250G,  2 ,ORDER,,,,
11,PORK BELLY SLAB,  27.5 ,KG,,,,
12,PROSCIUTTO CRUDO,  121 ,ORDER,,,,
13,SHIRMP ON HEAD,,KG,,,,
14,SHRIMP FROZEN 1KG,  8 ,KG,,,,
15,TUNA STEAK ,,G,,,,
,,,,,,,
,Vegetables,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,ARUGULA 50G,  170 ,G,,,,
2,BASIL ,,G,,,,
3,BLACK OLIVES (FOR EVENT) 290G ,300,G,,,,
4,CALAMANSI,450,G,,,,
5,CARROT,  340 ,G,,,,
6,CELERY 100G,  500 ,G,,,,
7,CUCUMBER,,G,,,,
8,FRESH PARSLEY,  20 ,G,,,10 dried,
9,FRESH SQUASH,,G,,,,
10,GINGER,  180 ,G,,,,
11,GREEN BELLPEPPER,  510 ,G,,,,
12,GREEN CHILI,1.74,G,,,,
13,GREEN OLIVES (FOR EVENT) 290G,  290 ,G,,,,
14,GREEN PEAS (FOOD TASTING) ,,G,,,,
15,LEMON GRASS,  890 ,G,,,,
16,MINT LEAVES (FOR EVENT) 180G,,G,,,,
17,POTATO,  8.16 ,KG,,,520,
18,RED BELLPEPPER,640,KG,,,,
19,RED CHILI,  800 ,G,,,,
20,RED ONION,  7.5 ,KG,,,,
21,SPRING ONION,  20 ,G,,,,
22,SUKINI 620G ,,G,,,,
23,TOMATO 1.3KG ,,G,,,,
24,WHITE ONION,  3.9 ,KG,,,,
25,WHOLE GARLIC,  590 ,KG,,,,
,,,,,,,
,Dairy,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,BLUE CHEESE 1.5KG,  2.13 ,KG,,,,
2,BURGER SLICE CHEESE 1KG,  112 ,ORDER,,,,
3,CREAM CHEESE 200G,  100.0 ,G,,,,
4,FETA CHEESE ,  1.1 ,ORDER,,,,
5,FRESH MOZARELLA ,  1.9 ,ORDER,,,,
6,MARCA PINA GRATED PARMESAN CHEESE 227G,  928 ,G,,,,
7,MIXED MEXICAN CHEESE ,  15.98 ,ORDER,,,,
8,MOZARELLA CHEESE,  19.39 ,ORDER,,,,
9,OK CHEDDAR CHEESE,  1.75 ,KG,,,,
10,UNSALTED BUTTER ,  6.26 ,KG,,,,
11,PARMESAN ORIGINAL,  850 ,G,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,CONDIMENTS & SPICES,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
1,5 SPICES (FOOD TASTING) ,  50 ,G,,,,
2,AJINAMOTO,  690 ,G,,,,
3,ALL PURPOSE CREAM ,  4 ,G,,,,
4,ANATO SEED 50G,,G,,,,
5,ATSUETE 250G,  100 ,G,,,,
6,BANANA KETSUP,,KG,,,,
7,BAY LEAVES,,G,,,,
8,BLACK SESAME SEED,  220 ,G,,,,
9,BROWN SUGAR 1KG FOR KITCHEN,,KG,,,,
10,CAYENNE 450G,  1 ,KG,,,,
11,CINNAMON POWDER 220G ,  180 ,G,,,,
12,COOKING CREAM,  17 ,L,,,3 RAT BITE,
13,CREAM TARTAR (FOR EVENT) 125G ,  125 ,G,,,,
14,CUMIN POWDER,  650 ,G,,,,
15,CURRY POWDER,  950 ,G,,,,
16,DASHI - 500 ML,  500 ,G,,,,
17,DRIED OREGANO ,  150 ,G,,,,
18,EGG,  87 ,PC,,,,
19,FLAKES ROSEMARY,  170 ,G,,,,
20,GARLIC POWDER 1KG,  1.22 ,KG,,,,
21,GATA (FOOD TASTING) ,,ML,,,,
22,GROUND PEPPER 120G,  310 ,G,,,,
23,GULAMAN GREEN ,  6 ,PACK,,,,
24,GULAMAN UNFLAVORED ,  13 ,PACK,,,,
25,HIMALAYAN ,  100 ,G,,,,
26,IODIZED SALT 720G,  360 ,G,,,,
27,JOLLY MUSHROOM SLICE,  3 ,CAN,,,,
28,JUFRAN HOT SAUCE,  6 ,BTL,,,,
